index,Formula,Phase,Elem1,Elem2,Elem3,Elem4,Elem5,Elem6,Elem7,Elem8,CantElemen,Compo1,Compo2,Compo3,Compo4,Compo5,Compo6,Compo7,Compo8
578.0,Ag4.2Pd79.3Si16.5,RMG,Ag,Pd,Si,0,0,0,0,0,3,4.2,79.3,16.5,0.0,0.0,0.0,0.0,0.0
625.0,Ag5Ce5Cu90,CRA,Ag,Ce,Cu,0,0,0,0,0,3,5.0,5.0,90.0,0.0,0.0,0.0,0.0,0.0
648.0,Ag70Ce5Cu25,CRA,Ag,Ce,Cu,0,0,0,0,0,3,70.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
697.0,Al10La45Ni45,RMG,Al,La,Ni,0,0,0,0,0,3,10.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0
705.0,Al10La86Ni4,RMG,Al,La,Ni,0,0,0,0,0,3,10.0,86.0,4.0,0.0,0.0,0.0,0.0,0.0
710.0,Al10Mg70Zn20,RMG,Al,Mg,Zn,0,0,0,0,0,3,10.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0
725.0,Al10Ni40Zr50,RMG,Al,Ni,Zr,0,0,0,0,0,3,10.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0
747.0,Al12B22Ni66,RMG,Al,B,Ni,0,0,0,0,0,3,12.0,22.0,66.0,0.0,0.0,0.0,0.0,0.0
749.0,Al12B26Ni62,RMG,Al,B,Ni,0,0,0,0,0,3,12.0,26.0,62.0,0.0,0.0,0.0,0.0,0.0
750.0,Al12B30Co58,RMG,Al,B,Co,0,0,0,0,0,3,12.0,30.0,58.0,0.0,0.0,0.0,0.0,0.0
758.0,Al12Ce6Cu82,CRA,Al,Ce,Cu,0,0,0,0,0,3,12.0,6.0,82.0,0.0,0.0,0.0,0.0,0.0
787.0,Al15Fe56.7Tb28.3,CRA,Al,Fe,Tb,0,0,0,0,0,3,15.0,56.7,28.3,0.0,0.0,0.0,0.0,0.0
797.0,Al15La75Ni10,RMG,Al,La,Ni,0,0,0,0,0,3,15.0,75.0,10.0,0.0,0.0,0.0,0.0,0.0
813.0,Al15Ni55Zr30,RMG,Al,Ni,Zr,0,0,0,0,0,3,15.0,55.0,30.0,0.0,0.0,0.0,0.0,0.0
823.0,Al16B18Ni66,RMG,Al,B,Ni,0,0,0,0,0,3,16.0,18.0,66.0,0.0,0.0,0.0,0.0,0.0
831.0,Al16B30Ni54,RMG,Al,B,Ni,0,0,0,0,0,3,16.0,30.0,54.0,0.0,0.0,0.0,0.0,0.0
848.0,Al20B14Ni66,CRA,Al,B,Ni,0,0,0,0,0,3,20.0,14.0,66.0,0.0,0.0,0.0,0.0,0.0
857.0,Al20B30Co50,RMG,Al,B,Co,0,0,0,0,0,3,20.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0
859.0,Al20B30Ni50,RMG,Al,B,Ni,0,0,0,0,0,3,20.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0
861.0,Al20B34Fe46,RMG,Al,B,Fe,0,0,0,0,0,3,20.0,34.0,46.0,0.0,0.0,0.0,0.0,0.0
864.0,Al20B40Ni40,RMG,Al,B,Ni,0,0,0,0,0,3,20.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0
909.0,Al20Ni30Zr50,RMG,Al,Ni,Zr,0,0,0,0,0,3,20.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0
933.0,Al24La18Ni58,RMG,Al,La,Ni,0,0,0,0,0,3,24.0,18.0,58.0,0.0,0.0,0.0,0.0,0.0
956.0,Al25La50Ni25,RMG,Al,La,Ni,0,0,0,0,0,3,25.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0
965.0,Al25Ni15Zr60,RMG,Al,Ni,Zr,0,0,0,0,0,3,25.0,15.0,60.0,0.0,0.0,0.0,0.0,0.0
972.0,Al25Ni30Zr45,RMG,Al,Ni,Zr,0,0,0,0,0,3,25.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0
974.0,Al25Ni35Zr40,RMG,Al,Ni,Zr,0,0,0,0,0,3,25.0,35.0,40.0,0.0,0.0,0.0,0.0,0.0
989.0,Al2Ce10Cu88,CRA,Al,Ce,Cu,0,0,0,0,0,3,2.0,10.0,88.0,0.0,0.0,0.0,0.0,0.0
1011.0,Al30Cu30Ti40,CRA,Al,Cu,Ti,0,0,0,0,0,3,30.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0
1014.0,Al30Cu40Ti30,CRA,Al,Cu,Ti,0,0,0,0,0,3,30.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0
1028.0,Al30La55Ni15,RMG,Al,La,Ni,0,0,0,0,0,3,30.0,55.0,15.0,0.0,0.0,0.0,0.0,0.0
1074.0,Al38La18Ni44,RMG,Al,La,Ni,0,0,0,0,0,3,38.0,18.0,44.0,0.0,0.0,0.0,0.0,0.0
1083.0,Al40Cu40La20,CRA,Al,Cu,La,0,0,0,0,0,3,40.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0
1123.0,Al48La18Ni34,RMG,Al,La,Ni,0,0,0,0,0,3,48.0,18.0,34.0,0.0,0.0,0.0,0.0,0.0
1185.0,Al52Mg17Pd31,CRA,Al,Mg,Pd,0,0,0,0,0,3,52.0,17.0,31.0,0.0,0.0,0.0,0.0,0.0
1199.0,Al55Cr20Si25,CRA,Al,Cr,Si,0,0,0,0,0,3,55.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0
1201.0,Al55Cu10Ti35,CRA,Al,Cu,Ti,0,0,0,0,0,3,55.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0
1226.0,Al57Ge25Mn18,RMG,Al,Ge,Mn,0,0,0,0,0,3,57.0,25.0,18.0,0.0,0.0,0.0,0.0,0.0
1249.0,Al5Cu60Ti35,RMG,Al,Cu,Ti,0,0,0,0,0,3,5.0,60.0,35.0,0.0,0.0,0.0,0.0,0.0
1261.0,Al5Ni10Zr85,RMG,Al,Ni,Zr,0,0,0,0,0,3,5.0,10.0,85.0,0.0,0.0,0.0,0.0,0.0
1304.0,Al60La20Ni20,RMG,Al,La,Ni,0,0,0,0,0,3,60.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
1327.0,Al65Ce15Fe20,CRA,Al,Ce,Fe,0,0,0,0,0,3,65.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0
1340.0,Al65Cu20V15,CRA,Al,Cu,V,0,0,0,0,0,3,65.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0
1346.0,Al65Ge25V10,RMG,Al,Ge,V,0,0,0,0,0,3,65.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0
1395.0,Al6La86Ni8,RMG,Al,La,Ni,0,0,0,0,0,3,6.0,86.0,8.0,0.0,0.0,0.0,0.0,0.0
1397.0,Al7.5Cu27.5Zr65,RMG,Al,Cu,Zr,0,0,0,0,0,3,7.5,27.5,65.0,0.0,0.0,0.0,0.0,0.0
1419.0,Al70Gd20Ni10,CRA,Al,Gd,Ni,0,0,0,0,0,3,70.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0
1420.0,Al70Ge20V10,CRA,Al,Ge,V,0,0,0,0,0,3,70.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0
1435.0,Al70Ni13Si17,RMG,Al,Ni,Si,0,0,0,0,0,3,70.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0
1442.0,Al70Ni20Y10,CRA,Al,Ni,Y,0,0,0,0,0,3,70.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0
1446.0,Al71Ce17Fe12,CRA,Al,Ce,Fe,0,0,0,0,0,3,71.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0
1447.0,Al71Co4Si25,RMG,Al,Co,Si,0,0,0,0,0,3,71.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0
1457.0,Al74.6Mn17.4Si8,CRA,Al,Mn,Si,0,0,0,0,0,3,74.6,17.4,8.0,0.0,0.0,0.0,0.0,0.0
1497.0,Al75Nd5Ni20,CRA,Al,Nd,Ni,0,0,0,0,0,3,75.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0
1530.0,Al80Ce10Cu10,RMG,Al,Ce,Cu,0,0,0,0,0,3,80.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
1564.0,Al80Nd15Ni5,CRA,Al,Nd,Ni,0,0,0,0,0,3,80.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0
1602.0,Al83Ce7Cu10,RMG,Al,Ce,Cu,0,0,0,0,0,3,83.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0
1614.0,Al83Ni10Zr7,RMG,Al,Ni,Zr,0,0,0,0,0,3,83.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0
1618.0,Al84Co14Fe2,CRA,Al,Co,Fe,0,0,0,0,0,3,84.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0
1620.0,Al84Co8Ni8,CRA,Al,Co,Ni,0,0,0,0,0,3,84.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
1641.0,Al84Ni10Y6,BMG,Al,Ni,Y,0,0,0,0,0,3,84.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0
1669.0,Al85Cu10La5,CRA,Al,Cu,La,0,0,0,0,0,3,85.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0
1693.0,Al85Nd2Ni13,RMG,Al,Nd,Ni,0,0,0,0,0,3,85.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0
1736.0,Al86Mn8Ni6,CRA,Al,Mn,Ni,0,0,0,0,0,3,86.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0
1761.0,Al87Ce8Cr5,CRA,Al,Ce,Cr,0,0,0,0,0,3,87.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0
1762.0,Al87Ce8Cu5,RMG,Al,Ce,Cu,0,0,0,0,0,3,87.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0
1785.0,Al87Ni5Y8,RMG,Al,Ni,Y,0,0,0,0,0,3,87.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0
1825.0,Al88Fe1Ni11,RMG,Al,Fe,Ni,0,0,0,0,0,3,88.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0
1872.0,Al89Ni1Sm10,RMG,Al,Ni,Sm,0,0,0,0,0,3,89.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
1903.0,Al8Ni8Zr84,RMG,Al,Ni,Zr,0,0,0,0,0,3,8.0,8.0,84.0,0.0,0.0,0.0,0.0,0.0
1917.0,Al90Co2Fe8,CRA,Al,Co,Fe,0,0,0,0,0,3,90.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0
1924.0,Al90Co6Fe4,CRA,Al,Co,Fe,0,0,0,0,0,3,90.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
1941.0,Al90La8Ni2,RMG,Al,La,Ni,0,0,0,0,0,3,90.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
1957.0,Al91Co1Ni8,CRA,Al,Co,Ni,0,0,0,0,0,3,91.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
1970.0,Al92Co2Ni6,CRA,Al,Co,Ni,0,0,0,0,0,3,92.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
1983.0,Al92Mn6Ni2,CRA,Al,Mn,Ni,0,0,0,0,0,3,92.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
1985.0,Al92Nd4Ni4,CRA,Al,Nd,Ni,0,0,0,0,0,3,92.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
1996.0,Al94Co2Mn4,CRA,Al,Co,Mn,0,0,0,0,0,3,94.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
2024.0,Au15Pd68.5Si16.5,RMG,Au,Pd,Si,0,0,0,0,0,3,15.0,68.5,16.5,0.0,0.0,0.0,0.0,0.0
2075.0,B10C15Ni75,CRA,B,C,Ni,0,0,0,0,0,3,10.0,15.0,75.0,0.0,0.0,0.0,0.0,0.0
2082.0,B10Co20Ti70,RMG,B,Co,Ti,0,0,0,0,0,3,10.0,20.0,70.0,0.0,0.0,0.0,0.0,0.0
2093.0,B10Cr12Fe78,CRA,B,Cr,Fe,0,0,0,0,0,3,10.0,12.0,78.0,0.0,0.0,0.0,0.0,0.0
2117.0,B10Fe72.5Si17.5,RMG,B,Fe,Si,0,0,0,0,0,3,10.0,72.5,17.5,0.0,0.0,0.0,0.0,0.0
2125.0,B10Fe75Zr15,RMG,B,Fe,Zr,0,0,0,0,0,3,10.0,75.0,15.0,0.0,0.0,0.0,0.0,0.0
2137.0,B10Fe80V10,CRA,B,Fe,V,0,0,0,0,0,3,10.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0
2184.0,B11Fe75P14,CRA,B,Fe,P,0,0,0,0,0,3,11.0,75.0,14.0,0.0,0.0,0.0,0.0,0.0
2199.0,B12.5Fe77.5Si10,RMG,B,Fe,Si,0,0,0,0,0,3,12.5,77.5,10.0,0.0,0.0,0.0,0.0,0.0
2209.0,B12C4Co84,CRA,B,C,Co,0,0,0,0,0,3,12.0,4.0,84.0,0.0,0.0,0.0,0.0,0.0
2242.0,B12Cr20Fe68,RMG,B,Cr,Fe,0,0,0,0,0,3,12.0,20.0,68.0,0.0,0.0,0.0,0.0,0.0
2288.0,B12Fe82Si6,RMG,B,Fe,Si,0,0,0,0,0,3,12.0,82.0,6.0,0.0,0.0,0.0,0.0,0.0
2292.0,B12Fe83Ni5,CRA,B,Fe,Ni,0,0,0,0,0,3,12.0,83.0,5.0,0.0,0.0,0.0,0.0,0.0
2300.0,B12Fe87Ni1,CRA,B,Fe,Ni,0,0,0,0,0,3,12.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0
2313.0,B13C10Ni77,CRA,B,C,Ni,0,0,0,0,0,3,13.0,10.0,77.0,0.0,0.0,0.0,0.0,0.0
2337.0,B14C16Ni70,CRA,B,C,Ni,0,0,0,0,0,3,14.0,16.0,70.0,0.0,0.0,0.0,0.0,0.0
2381.0,B14Fe79W7,RMG,B,Fe,W,0,0,0,0,0,3,14.0,79.0,7.0,0.0,0.0,0.0,0.0,0.0
2406.0,B15Co72.5Si12.5,RMG,B,Co,Si,0,0,0,0,0,3,15.0,72.5,12.5,0.0,0.0,0.0,0.0,0.0
2425.0,B15Fe72Si13,RMG,B,Fe,Si,0,0,0,0,0,3,15.0,72.0,13.0,0.0,0.0,0.0,0.0,0.0
2430.0,B15Fe77.5Si7.5,RMG,B,Fe,Si,0,0,0,0,0,3,15.0,77.5,7.5,0.0,0.0,0.0,0.0,0.0
2450.0,B15Mo80Si5,CRA,B,Mo,Si,0,0,0,0,0,3,15.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0
2503.0,B16Cu20Fe64,CRA,B,Cu,Fe,0,0,0,0,0,3,16.0,20.0,64.0,0.0,0.0,0.0,0.0,0.0
2516.0,B16Fe67.2Nd16.8,RMG,B,Fe,Nd,0,0,0,0,0,3,16.0,67.2,16.8,0.0,0.0,0.0,0.0,0.0
2537.0,B16Fe80P4,RMG,B,Fe,P,0,0,0,0,0,3,16.0,80.0,4.0,0.0,0.0,0.0,0.0,0.0
2544.0,B16Fe82Si2,RMG,B,Fe,Si,0,0,0,0,0,3,16.0,82.0,2.0,0.0,0.0,0.0,0.0,0.0
2563.0,B17.5Fe72.5Si10,RMG,B,Fe,Si,0,0,0,0,0,3,17.5,72.5,10.0,0.0,0.0,0.0,0.0,0.0
2589.0,B17Co54Fe29,RMG,B,Co,Fe,0,0,0,0,0,3,17.0,54.0,29.0,0.0,0.0,0.0,0.0,0.0
2592.0,B17Co6Fe77,RMG,B,Co,Fe,0,0,0,0,0,3,17.0,6.0,77.0,0.0,0.0,0.0,0.0,0.0
2602.0,B17Fe24Ni59,RMG,B,Fe,Ni,0,0,0,0,0,3,17.0,24.0,59.0,0.0,0.0,0.0,0.0,0.0
2617.0,B17Fe75Zr8,RMG,B,Fe,Zr,0,0,0,0,0,3,17.0,75.0,8.0,0.0,0.0,0.0,0.0,0.0
2658.0,B17Ni76Si7,RMG,B,Ni,Si,0,0,0,0,0,3,17.0,76.0,7.0,0.0,0.0,0.0,0.0,0.0
2683.0,B18Cu0.5Fe81.5,RMG,B,Cu,Fe,0,0,0,0,0,3,18.0,0.5,81.5,0.0,0.0,0.0,0.0,0.0
2685.0,B18Cu15Fe67,CRA,B,Cu,Fe,0,0,0,0,0,3,18.0,15.0,67.0,0.0,0.0,0.0,0.0,0.0
2710.0,B19.5Fe40.5Ni40,RMG,B,Fe,Ni,0,0,0,0,0,3,19.5,40.5,40.0,0.0,0.0,0.0,0.0,0.0
2734.0,B2.5Cu25Zr72.5,RMG,B,Cu,Zr,0,0,0,0,0,3,2.5,25.0,72.5,0.0,0.0,0.0,0.0,0.0
2738.0,B2.5Cu45Zr52.5,RMG,B,Cu,Zr,0,0,0,0,0,3,2.5,45.0,52.5,0.0,0.0,0.0,0.0,0.0
2742.0,B2.5Cu65Zr32.5,RMG,B,Cu,Zr,0,0,0,0,0,3,2.5,65.0,32.5,0.0,0.0,0.0,0.0,0.0
2764.0,B20Co32Mn48,RMG,B,Co,Mn,0,0,0,0,0,3,20.0,32.0,48.0,0.0,0.0,0.0,0.0,0.0
2768.0,B20Co40Cr40,RMG,B,Co,Cr,0,0,0,0,0,3,20.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0
2775.0,B20Co4Fe76,RMG,B,Co,Fe,0,0,0,0,0,3,20.0,4.0,76.0,0.0,0.0,0.0,0.0,0.0
2810.0,B20Cr2.5Fe77.5,RMG,B,Cr,Fe,0,0,0,0,0,3,20.0,2.5,77.5,0.0,0.0,0.0,0.0,0.0
2821.0,B20Cr6Fe74,RMG,B,Cr,Fe,0,0,0,0,0,3,20.0,6.0,74.0,0.0,0.0,0.0,0.0,0.0
2824.0,B20Cu10Fe70,CRA,B,Cu,Fe,0,0,0,0,0,3,20.0,10.0,70.0,0.0,0.0,0.0,0.0,0.0
2837.0,B20Fe60Mn20,RMG,B,Fe,Mn,0,0,0,0,0,3,20.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0
2865.0,B20Fe75Zr5,RMG,B,Fe,Zr,0,0,0,0,0,3,20.0,75.0,5.0,0.0,0.0,0.0,0.0,0.0
2880.0,B20Mo24Rh56,RMG,B,Mo,Rh,0,0,0,0,0,3,20.0,24.0,56.0,0.0,0.0,0.0,0.0,0.0
2918.0,B22Co74Ti4,RMG,B,Co,Ti,0,0,0,0,0,3,22.0,74.0,4.0,0.0,0.0,0.0,0.0,0.0
2919.0,B22Fe19.5Ni58.5,RMG,B,Fe,Ni,0,0,0,0,0,3,22.0,19.5,58.5,0.0,0.0,0.0,0.0,0.0
2930.0,B22Ni72Si6,RMG,B,Ni,Si,0,0,0,0,0,3,22.0,72.0,6.0,0.0,0.0,0.0,0.0,0.0
2971.0,B24Fe69Si7,RMG,B,Fe,Si,0,0,0,0,0,3,24.0,69.0,7.0,0.0,0.0,0.0,0.0,0.0
2981.0,B25Co65Zr10,RMG,B,Co,Zr,0,0,0,0,0,3,25.0,65.0,10.0,0.0,0.0,0.0,0.0,0.0
2996.0,B25Mo60Si15,CRA,B,Mo,Si,0,0,0,0,0,3,25.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0
3046.0,B28Ni66Si6,RMG,B,Ni,Si,0,0,0,0,0,3,28.0,66.0,6.0,0.0,0.0,0.0,0.0,0.0
3050.0,B2Co82Zr16,CRA,B,Co,Zr,0,0,0,0,0,3,2.0,82.0,16.0,0.0,0.0,0.0,0.0,0.0
3052.0,B2Co88Zr10,RMG,B,Co,Zr,0,0,0,0,0,3,2.0,88.0,10.0,0.0,0.0,0.0,0.0,0.0
3068.0,B2Fe88Mo10,CRA,B,Fe,Mo,0,0,0,0,0,3,2.0,88.0,10.0,0.0,0.0,0.0,0.0,0.0
3100.0,B32Co61Mn7,RMG,B,Co,Mn,0,0,0,0,0,3,32.0,61.0,7.0,0.0,0.0,0.0,0.0,0.0
3105.0,B34C14Ni52,RMG,B,C,Ni,0,0,0,0,0,3,34.0,14.0,52.0,0.0,0.0,0.0,0.0,0.0
3110.0,B36C2Co62,RMG,B,C,Co,0,0,0,0,0,3,36.0,2.0,62.0,0.0,0.0,0.0,0.0,0.0
3120.0,B3Fe83P14,CRA,B,Fe,P,0,0,0,0,0,3,3.0,83.0,14.0,0.0,0.0,0.0,0.0,0.0
3144.0,B46C8Ni46,CRA,B,C,Ni,0,0,0,0,0,3,46.0,8.0,46.0,0.0,0.0,0.0,0.0,0.0
3147.0,B4Cr12Fe84,CRA,B,Cr,Fe,0,0,0,0,0,3,4.0,12.0,84.0,0.0,0.0,0.0,0.0,0.0
3157.0,B4Fe23Zr73,RMG,B,Fe,Zr,0,0,0,0,0,3,4.0,23.0,73.0,0.0,0.0,0.0,0.0,0.0
3165.0,B4Fe84Mo12,CRA,B,Fe,Mo,0,0,0,0,0,3,4.0,84.0,12.0,0.0,0.0,0.0,0.0,0.0
3183.0,B4Fe95Ni1,CRA,B,Fe,Ni,0,0,0,0,0,3,4.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0
3229.0,B6.1Fe82.1Nd11.8,RMG,B,Fe,Nd,0,0,0,0,0,3,6.1,82.1,11.8,0.0,0.0,0.0,0.0,0.0
3249.0,B6Fe22.6Zr71.4,RMG,B,Fe,Zr,0,0,0,0,0,3,6.0,22.6,71.4,0.0,0.0,0.0,0.0,0.0
3259.0,B6Fe79P15,RMG,B,Fe,P,0,0,0,0,0,3,6.0,79.0,15.0,0.0,0.0,0.0,0.0,0.0
3271.0,B6Fe84Ni10,CRA,B,Fe,Ni,0,0,0,0,0,3,6.0,84.0,10.0,0.0,0.0,0.0,0.0,0.0
3273.0,B6Fe84V10,CRA,B,Fe,V,0,0,0,0,0,3,6.0,84.0,10.0,0.0,0.0,0.0,0.0,0.0
3292.0,B7.5Cu30Zr62.5,RMG,B,Cu,Zr,0,0,0,0,0,3,7.5,30.0,62.5,0.0,0.0,0.0,0.0,0.0
3301.0,B7.5Fe82.5Si10,CRA,B,Fe,Si,0,0,0,0,0,3,7.5,82.5,10.0,0.0,0.0,0.0,0.0,0.0
3306.0,B7Co77Zr16,RMG,B,Co,Zr,0,0,0,0,0,3,7.0,77.0,16.0,0.0,0.0,0.0,0.0,0.0
3336.0,B8Cu10Fe82,CRA,B,Cu,Fe,0,0,0,0,0,3,8.0,10.0,82.0,0.0,0.0,0.0,0.0,0.0
3346.0,B8Fe74Mo18,CRA,B,Fe,Mo,0,0,0,0,0,3,8.0,74.0,18.0,0.0,0.0,0.0,0.0,0.0
