index,Formula,Phase,state,batch
96,Al91Ce9,RMG,No Procesado,13
97,Al92.5Ca7.5,CRA,No Procesado,12
98,Al92Ce8,RMG,No Procesado,5
99,Al92Co8,CRA,No Procesado,8
100,Al92Cr8,CRA,No Procesado,16
101,Al92Fe8,CRA,No Procesado,3
102,Al92Gd8,RMG,No Procesado,8
103,Al92La8,RMG,No Procesado,1
104,Al92Mn8,CRA,No Procesado,20
105,Al92Nd8,RMG,No Procesado,10
106,Al92Ni8,CRA,No Procesado,18
107,Al92Sm8,RMG,No Procesado,11
108,Al92Y8,RMG,No Procesado,13
109,Al93Ce7,RMG,No Procesado,1
110,Al94.1Ti5.9,CRA,No Procesado,13
111,Al94Ce6,CRA,No Procesado,12
112,Al94Co6,CRA,No Procesado,7
113,Al94Cr6,CRA,No Procesado,15
114,Al94Fe6,CRA,No Procesado,20
115,Al94Gd6,CRA,No Procesado,18
116,Al94Mn6,CRA,No Procesado,9
117,Al94Nd6,CRA,No Procesado,2
118,Al94Ni6,CRA,No Procesado,19
119,Al94Sm6,CRA,No Procesado,7
120,Al95Ce5,CRA,No Procesado,2
121,Al96Co4,CRA,No Procesado,6
122,Al96Cr4,CRA,No Procesado,7
123,Al96Fe4,CRA,No Procesado,13
124,Al96Mn4,CRA,No Procesado,4
125,Al96Nd4,CRA,No Procesado,3
126,Al96Ni4,CRA,No Procesado,2
127,Al97.1Ti2.9,CRA,No Procesado,11
128,Al98.9Ti1.1,CRA,No Procesado,1
129,Al98Co2,CRA,No Procesado,20
130,Al98Fe2,CRA,No Procesado,14
131,Al98Mn2,CRA,No Procesado,2
132,Al98Nd2,CRA,No Procesado,15
133,Al98Ni2,CRA,No Procesado,9
134,Al50Y50,RMG,No Procesado,11
135,Au25Gd75,RMG,No Procesado,4
136,B10Mo90,CRA,No Procesado,17
137,B11Co89,RMG,No Procesado,16
138,B12Co88,RMG,No Procesado,2
139,B12Fe88,RMG,No Procesado,9
140,B13Fe87,RMG,No Procesado,18
141,B14Fe86,RMG,No Procesado,1
142,B15Co85,CRA,No Procesado,3
143,B15Fe85,RMG,No Procesado,13
144,B15Mo85,CRA,No Procesado,7
145,B16Co84,RMG,No Procesado,20
146,B16Fe84,RMG,No Procesado,18
147,B16Ni84,CRA,No Procesado,5
148,B17.5Fe82.5,RMG,No Procesado,4
149,B17Co83,RMG,No Procesado,3
150,B17Fe83,BMG,No Procesado,19
151,B18.5Co81.5,RMG,No Procesado,18
152,B18.5Fe81.5,RMG,No Procesado,6
153,B18.5Ni81.5,RMG,No Procesado,10
154,B18Co82,RMG,No Procesado,1
155,B18Fe82,RMG,No Procesado,7
156,B18Ni82,RMG,No Procesado,17
157,B19Fe81,RMG,No Procesado,18
158,B20Co80,RMG,No Procesado,12
159,B20Fe80,RMG,No Procesado,4
160,B20Mo80,CRA,No Procesado,4
161,B20Ni80,CRA,No Procesado,10
162,B21Fe79,CRA,No Procesado,19
163,B22.5Fe77.5,RMG,No Procesado,3
164,B22Co78,RMG,No Procesado,16
165,B22Fe78,RMG,No Procesado,16
166,B22Ni78,CRA,No Procesado,14
167,B24Co76,RMG,No Procesado,20
168,B24Ni76,CRA,No Procesado,10
169,B25Co75,RMG,No Procesado,9
170,B25Fe75,RMG,No Procesado,5
171,B25Mo75,CRA,No Procesado,12
172,B26Co74,RMG,No Procesado,14
173,B26Ni74,CRA,No Procesado,17
174,B28Co72,RMG,No Procesado,20
175,B28Ni72,RMG,No Procesado,14
176,B29Co71,RMG,No Procesado,13
177,B30Co70,RMG,No Procesado,8
178,B30Mo70,CRA,No Procesado,10
179,B30Ni70,RMG,No Procesado,16
180,B32Co68,RMG,No Procesado,9
181,B34Co66,RMG,No Procesado,8
182,B34Ni66,RMG,No Procesado,17
183,B35Co65,RMG,No Procesado,11
184,B36Co64,RMG,No Procesado,12
185,B38Co62,RMG,No Procesado,4
186,B38Ni62,RMG,No Procesado,17
187,B40Co60,RMG,No Procesado,12
188,B40Ni60,RMG,No Procesado,13
189,B41Co59,RMG,No Procesado,3
190,B42Ni58,RMG,No Procesado,8
191,B46Ni54,CRA,No Procesado,17
192,B48Ni52,CRA,No Procesado,19
193,B54Ni46,CRA,No Procesado,12
194,B5Ni95,CRA,No Procesado,17
195,B9Fe91,RMG,No Procesado,4
196,Be10Ti90,CRA,No Procesado,17
197,Be10Zr90,CRA,No Procesado,16
198,Be2.5Zr97.5,CRA,No Procesado,20
199,Be20Ti80,CRA,No Procesado,20
200,Be20Zr80,CRA,No Procesado,15
201,Be30Ti70,CRA,No Procesado,14
202,Be30Zr70,RMG,No Procesado,14
203,Be32.5Zr67.5,RMG,No Procesado,8
204,Be35Ti65,CRA,No Procesado,5
205,Be35Zr65,RMG,No Procesado,16
206,Be37.5Ti62.5,RMG,No Procesado,14
207,Be37Ti63,RMG,No Procesado,4
208,Be38Ti62,RMG,No Procesado,6
209,Be39Ti61,RMG,No Procesado,10
210,Be40Ti60,RMG,No Procesado,3
211,Be40Zr60,RMG,No Procesado,15
212,Be41Ti59,RMG,No Procesado,19
213,Be42Ti58,CRA,No Procesado,11
214,Be43Ti57,CRA,No Procesado,9
215,Be45Ti55,CRA,No Procesado,14
216,Be45Zr55,RMG,No Procesado,17
217,Be50Ti50,CRA,No Procesado,13
218,Be50Zr50,RMG,No Procesado,2
219,Be7.5Zr92.5,CRA,No Procesado,3
220,C10Co90,CRA,No Procesado,4
221,C10Ni90,CRA,No Procesado,19
222,C15Co85,CRA,No Procesado,10
223,C15Ni85,CRA,No Procesado,2
224,C20Co80,CRA,No Procesado,5
225,C20Ni80,CRA,No Procesado,3
226,C5Ni95,CRA,No Procesado,18
227,Ca10Mg90,CRA,No Procesado,18
228,Ca11Mg89,CRA,No Procesado,19
229,Ca60Mg40,RMG,No Procesado,5
230,Ca7.5Mg92.5,CRA,No Procesado,7
231,Ca70Cu30,RMG,No Procesado,7
232,Ca70Mg30,RMG,No Procesado,4
233,Ce10Mg90,CRA,No Procesado,1
234,Co30Zr70,RMG,No Procesado,16
235,Co33Hf67,RMG,No Procesado,16
236,Co33Zr67,RMG,No Procesado,4
237,Co55Zr45,RMG,No Procesado,12
238,Co70Si30,CRA,No Procesado,12
239,Co75Si25,CRA,No Procesado,15
240,Co80Si20,CRA,No Procesado,15
241,Co84Zr16,RMG,No Procesado,5
242,Co85Si15,CRA,No Procesado,20
243,Co90Si10,CRA,No Procesado,11
244,Co90Zr10,RMG,No Procesado,6
245,Co91Zr9,RMG,No Procesado,7
246,Co95Si5,CRA,No Procesado,17
247,Cr80P20,CRA,No Procesado,7
248,Cr87P13,CRA,No Procesado,5
249,Cu10Mg90,CRA,No Procesado,17
250,Cu10Ti90,CRA,No Procesado,15
251,Cu15Mg85,CRA,No Procesado,4
252,Cu20La80,CRA,No Procesado,19
253,Cu20Mg80,RMG,No Procesado,5
254,Cu20Ti80,CRA,No Procesado,3
255,Cu27La73,RMG,No Procesado,17
256,Cu28Zr72,CRA,No Procesado,13
257,Cu30Hf70,RMG,No Procesado,2
258,Cu30Mg70,RMG,No Procesado,14
259,Cu30Ti70,CRA,No Procesado,6
260,Cu30Zr70,RMG,No Procesado,4
261,Cu32Fe68,CRA,No Procesado,5
262,Cu33Zr67,RMG,No Procesado,9
263,Cu35Ti65,RMG,No Procesado,3
264,Cu37.5La62.5,RMG,No Procesado,9
265,Cu37La63,RMG,No Procesado,15
266,Cu40Hf60,RMG,No Procesado,5
267,Cu40La60,CRA,No Procesado,14
268,Cu40Mg60,RMG,No Procesado,8
269,Cu40Ti60,RMG,No Procesado,7
270,Cu40Y60,RMG,No Procesado,8
271,Cu40Zr60,RMG,No Procesado,19
272,Cu45Ti55,RMG,No Procesado,2
273,Cu46Zr54,BMG,No Procesado,7
274,Cu50Hf50,RMG,No Procesado,14
275,Cu50La50,CRA,No Procesado,16
276,Cu50Mg50,BMG,No Procesado,14
277,Cu50Ti50,RMG,No Procesado,7
278,Cu50Zr50,BMG,No Procesado,11
279,Cu54Fe46,CRA,No Procesado,6
280,Cu55Ti45,RMG,No Procesado,1
281,Cu56Zr44,RMG,No Procesado,19
282,Cu60Hf40,RMG,No Procesado,7
283,Cu60Nd40,CRA,No Procesado,16
284,Cu60Ti40,RMG,No Procesado,14
285,Cu60Zr40,RMG,No Procesado,18
286,Cu62Zr38,RMG,No Procesado,12
287,Cu63Fe37,CRA,No Procesado,9
288,Cu64Zr36,BMG,No Procesado,20
289,Cu65Zr35,RMG,No Procesado,2
290,Cu66Ti34,CRA,No Procesado,7
291,Cu70Fe30,CRA,No Procesado,7
292,Cu70Hf30,RMG,No Procesado,9
293,Cu70Nd30,CRA,No Procesado,15
294,Cu70Ti30,RMG,No Procesado,16
295,Cu70Zr30,RMG,No Procesado,12
296,Cu71Fe29,CRA,No Procesado,3
297,Cu73Ti27,RMG,No Procesado,20
298,Cu75Ti25,CRA,No Procesado,12
299,Cu75Zr25,CRA,No Procesado,10
300,Cu76Fe24,CRA,No Procesado,19
301,Cu80Nd20,CRA,No Procesado,20
302,Cu80Ti20,CRA,No Procesado,13
303,Cu80Zr20,CRA,No Procesado,15
304,Cu85Ti15,CRA,No Procesado,12
305,Cu90Fe10,CRA,No Procesado,1
306,Cu90Ti10,CRA,No Procesado,9
307,Cu95Zr5,CRA,No Procesado,5
308,Fe24Zr76,RMG,No Procesado,7
309,Fe25Sc75,RMG,No Procesado,12
310,Fe30Zr70,RMG,No Procesado,14
311,Fe33Zr67,RMG,No Procesado,11
312,Fe40Nd60,RMG,No Procesado,6
313,Fe50Nd50,RMG,No Procesado,7
314,Fe50Ni50,RMG,No Procesado,11
315,Fe60Nd40,RMG,No Procesado,3
316,Fe66.7Tb33.3,CRA,No Procesado,9
317,Fe67Nd33,RMG,No Procesado,7
318,Fe75Nd25,RMG,No Procesado,12
319,Fe79Nd21,RMG,No Procesado,9
320,Fe80Nd20,RMG,No Procesado,14
321,Fe80P20,RMG,No Procesado,11
322,Fe82Nd18,RMG,No Procesado,6
323,Fe85Nd15,RMG,No Procesado,18
324,Fe87Zr13,CRA,No Procesado,1
325,Fe88Zr12,RMG,No Procesado,20
326,Fe89Nd11,RMG,No Procesado,7
327,Fe89Zr11,RMG,No Procesado,16
328,Fe90Sc10,RMG,No Procesado,4
329,Fe90Zr10,RMG,No Procesado,13
330,Fe91Zr9,RMG,No Procesado,4
331,Fe92Zr8,RMG,No Procesado,18
332,Gd56Si44,RMG,No Procesado,10
333,Ge13Zr87,RMG,No Procesado,19
334,Ge15Zr85,RMG,No Procesado,7
335,Ge17Zr83,RMG,No Procesado,5
336,Ge21Pd79,RMG,No Procesado,15
337,Hf30Ni70,RMG,No Procesado,13
338,Hf40Ni60,RMG,No Procesado,19
339,Hf50Ni50,RMG,No Procesado,17
340,Hf60Ni40,RMG,No Procesado,15
341,Hf67Ni33,RMG,No Procesado,14
342,Hf70Ni30,RMG,No Procesado,8
343,Hf85Si15,RMG,No Procesado,8
344,La30Ni70,CRA,No Procesado,18
345,La40Ni60,CRA,No Procesado,19
346,La48Ni52,RMG,No Procesado,20
347,La50Ni50,CRA,No Procesado,18
348,La60Ni40,RMG,No Procesado,15
349,La70Ni30,RMG,No Procesado,19
350,La80Ni20,RMG,No Procesado,6
351,La90Ni10,CRA,No Procesado,7
352,Mg50Ni50,BMG,No Procesado,4
353,Mg55Zn45,CRA,No Procesado,13
354,Mg60Zn40,RMG,No Procesado,8
355,Mg65Zn35,RMG,No Procesado,13
356,Mg70Ni30,CRA,No Procesado,8
357,Mg70Zn30,RMG,No Procesado,6
358,Mg75Y25,CRA,No Procesado,19
359,Mg75Zn25,RMG,No Procesado,12
360,Mg80Ni20,RMG,No Procesado,2
361,Mg80Y20,CRA,No Procesado,5
362,Mg80Zn20,CRA,No Procesado,7
363,Mg84Y16,RMG,No Procesado,1
364,Mg85Mn15,CRA,No Procesado,20
365,Mg85Nd15,CRA,No Procesado,8
366,Mg85Ni15,RMG,No Procesado,6
367,Mg85Y15,RMG,No Procesado,18
368,Mg85Zn15,CRA,No Procesado,17
369,Mg87.5Y12.5,CRA,No Procesado,1
370,Mg90Mn10,CRA,No Procesado,15
371,Mg90Nd10,CRA,No Procesado,4
372,Mg90Ni10,RMG,No Procesado,20
373,Mg90Y10,CRA,No Procesado,18
374,Mg90Zn10,CRA,No Procesado,19
375,Mg92.5Mn7.5,CRA,No Procesado,7
376,Mg92.5Nd7.5,CRA,No Procesado,13
377,Mg95Mn5,CRA,No Procesado,9
378,Mg95Nd5,CRA,No Procesado,13
379,Mg95Y5,CRA,No Procesado,4
380,Mg95Zn5,CRA,No Procesado,17
381,Mg97.5Nd2.5,CRA,No Procesado,13
382,Mn90Zr10,RMG,No Procesado,20
383,Nb60Ni40,RMG,No Procesado,11
384,Nb77Si23,RMG,No Procesado,2
385,Nb80Si20,RMG,No Procesado,1
386,Nb85Si15,RMG,No Procesado,17
387,Nd30Ni70,CRA,No Procesado,9
388,Nd50Ni50,CRA,No Procesado,11
389,Nd60Ni40,RMG,No Procesado,1
390,Nd70Ni30,RMG,No Procesado,11
391,Nd80Ni20,CRA,No Procesado,4
392,Ni10Ti90,CRA,No Procesado,12
393,Ni15Ti85,CRA,No Procesado,19
394,Ni18Zr82,RMG,No Procesado,19
395,Ni20Pd80,RMG,No Procesado,4
396,Ni20Ti80,CRA,No Procesado,18
397,Ni20Zr80,RMG,No Procesado,11
398,Ni25Ti75,CRA,No Procesado,13
399,Ni28Zr72,RMG,No Procesado,1
400,Ni30Ti70,RMG,No Procesado,4
401,Ni30Zr70,RMG,No Procesado,4
402,Ni33Ti67,RMG,No Procesado,4
403,Ni33Zr67,RMG,No Procesado,20
404,Ni35Ti65,RMG,No Procesado,6
405,Ni36Zr64,RMG,No Procesado,14
406,Ni40Ti60,RMG,No Procesado,14
407,Ni40Zr60,RMG,No Procesado,3
408,Ni45Ti55,RMG,No Procesado,20
409,Ni50Nb50,BMG,No Procesado,16
410,Ni50Pd50,RMG,No Procesado,6
411,Ni50Ta50,RMG,No Procesado,12
412,Ni50Ti50,CRA,No Procesado,16
413,Ni50Zr50,BMG,No Procesado,2
414,Ni55Ti45,CRA,No Procesado,7
415,Ni60Nb40,BMG,No Procesado,13
416,Ni60Nd40,BMG,No Procesado,13
417,Ni60Ta40,RMG,No Procesado,6
418,Ni60Ti40,RMG,No Procesado,5
419,Ni60Zr40,RMG,No Procesado,5
420,Ni63Zr37,RMG,No Procesado,11
421,Ni65Ta35,RMG,No Procesado,11
422,Ni65Ti35,CRA,No Procesado,2
423,Ni65Zr35,RMG,No Procesado,3
424,Ni67Zr33,RMG,No Procesado,4
425,Ni68Zr32,RMG,No Procesado,7
426,Ni70Ta30,RMG,No Procesado,20
427,Ni70Ti30,CRA,No Procesado,12
428,Ni70Zr30,RMG,No Procesado,11
429,Ni75Ti25,CRA,No Procesado,10
430,Ni80P20,BMG,No Procesado,2
431,Ni80Si20,CRA,No Procesado,11
432,Ni80Ta20,RMG,No Procesado,4
433,Ni81.5P18.5,RMG,No Procesado,14
434,Ni81P19,RMG,No Procesado,2
435,Ni82P18,RMG,No Procesado,13
436,Ni85Si15,CRA,No Procesado,7
437,Ni90Si10,CRA,No Procesado,1
438,Ni90Ta10,RMG,No Procesado,3
439,Ni90Ti10,CRA,No Procesado,19
440,Ni90Zr10,RMG,No Procesado,17
441,Ni95Si5,CRA,No Procesado,19
442,P19Pd81,RMG,No Procesado,19
443,Pd78Si22,RMG,No Procesado,10
444,Pd79Si21,RMG,No Procesado,1
445,Pd80P20,BMG,No Procesado,16
446,Pd80Si20,BMG,No Procesado,3
447,Pd81Si19,BMG,No Procesado,2
448,Pd82.4Si17.6,RMG,No Procesado,1
449,Pd82Si18,BMG,No Procesado,13
450,Pd83.5Si16.5,RMG,No Procesado,4
451,Pd84Si16,RMG,No Procesado,9
452,Pd85Si15,RMG,No Procesado,2
453,Si10Ti90,CRA,No Procesado,1
454,Si13Ti87,RMG,No Procesado,16
455,Si13Zr87,RMG,No Procesado,8
456,Si15Ti85,RMG,No Procesado,6
457,Si15Zr85,RMG,No Procesado,6
458,Si17Zr83,RMG,No Procesado,3
459,Si20Ti80,RMG,No Procesado,14
460,Si22Ti78,RMG,No Procesado,18
461,Si25Ti75,CRA,No Procesado,1
462,Si5Ti95,CRA,No Procesado,13
463,Si80Ti20,RMG,No Procesado,4
464,Si85Ti15,RMG,No Procesado,7
465,Ti15Zr85,RMG,No Procesado,11
466,Ti20Zr80,RMG,No Procesado,4
467,Ti22Zr78,RMG,No Procesado,11
468,Ti50Zr50,BMG,No Procesado,7
469,Ti90Zr10,CRA,No Procesado,9
470,Ag10Al30Ca60,BMG,No Procesado,15
471,Ca35Cu35Mg30,BMG,No Procesado,3
472,Ca37.5Cu37.5Mg25,BMG,No Procesado,6
473,(Ce0.72Cu0.28)90Al10,BMG,No Procesado,5
474,(Cu0.5Zr0.5)90Al10,BMG,No Procesado,16
475,(Cu0.5Zr0.5)92Al8,BMG,No Procesado,13
476,(Cu0.5Zr0.5)94.5Al5.5,BMG,No Procesado,20
477,(Fe0.5Ni0.5)83B17,RMG,No Procesado,1
478,(Fe0.75Co0.25)83P17,BMG,No Procesado,11
479,(Fe0.75Cr0.25)83P17,BMG,No Procesado,8
480,(Fe0.75Mn0.25)83P17,BMG,No Procesado,20
481,(Fe0.75Ni0.25)83P17,BMG,No Procesado,12
482,(Fe0.85Cr0.15)83P17,BMG,No Procesado,6
483,(Fe0.85Mo0.15)83P17,BMG,No Procesado,20
484,(Fe0.85Ni0.15)83P17,BMG,No Procesado,2
485,(Fe0.85V0.15)83P17,BMG,No Procesado,15
486,Ag1.7Pd81.8Si16.5,RMG,No Procesado,11
487,Ag10.5Cu80.5P9,CRA,No Procesado,9
488,Ag10.5Cu81.5P8,RMG,No Procesado,16
489,Ag10.5Cu81.9P7.6,RMG,No Procesado,8
490,Ag10.5Cu82.5P7,RMG,No Procesado,11
491,Ag10Ce10Cu80,RMG,No Procesado,7
492,Ag10Ce3Cu87,CRA,No Procesado,14
493,Ag10Ce5Cu85,CRA,No Procesado,11
494,Ag10Ce6Cu84,RMG,No Procesado,6
495,Ag10Mg50Y40,CRA,No Procesado,10
496,Ag10Mg60Y30,RMG,No Procesado,12
497,Ag10Mg70Y20,RMG,No Procesado,17
498,Ag10Mg80Y10,RMG,No Procesado,15
499,Ag10Mg85Y5,CRA,No Procesado,18
500,Ag10Pd73.5Si16.5,RMG,No Procesado,9
501,Ag11Cu38Fe51,CRA,No Procesado,14
502,Ag12.2Cu80.3P7.5,RMG,No Procesado,3
503,Ag12.2Cu80.8P7,RMG,No Procesado,11
504,Ag12.2Cu81.5P6.3,CRA,No Procesado,3
505,Ag12.5Pd71Si16.5,RMG,No Procesado,14
506,Ag13Cu32Fe55,CRA,No Procesado,8
507,Ag14Cu78.5P7.5,CRA,No Procesado,3
508,Ag15Al10Mg75,RMG,No Procesado,2
509,Ag15Ce4Cu81,CRA,No Procesado,18
510,Ag15Ce6Cu79,RMG,No Procesado,8
511,Ag15Cu49Fe36,CRA,No Procesado,18
512,Ag15Cu83Fe2,CRA,No Procesado,20
513,Ag15Mg80Y5,RMG,No Procesado,16
514,Ag15Pd68.5Si16.5,RMG,No Procesado,17
515,Ag17Cu20Fe63,CRA,No Procesado,15
516,Ag17Cu41Fe42,CRA,No Procesado,13
517,Ag20.9Pd62.6Si16.5,CRA,No Procesado,3
518,Ag20Al25La55,RMG,No Procesado,5
519,Ag20Ce10Cu70,RMG,No Procesado,19
520,Ag20Ce3Cu77,CRA,No Procesado,15
521,Ag20Ce4Cu76,CRA,No Procesado,9
522,Ag20Ce5Cu75,CRA,No Procesado,2
523,Ag20Ce6Cu74,RMG,No Procesado,14
524,Ag20Mg20Y60,CRA,No Procesado,13
525,Ag20Mg30Y50,RMG,No Procesado,1
526,Ag20Mg40Y40,RMG,No Procesado,1
527,Ag20Mg50Y30,RMG,No Procesado,4
528,Ag20Mg60Y20,RMG,No Procesado,6
529,Ag20Mg70Y10,RMG,No Procesado,14
530,Ag21Cu42Fe37,CRA,No Procesado,2
531,Ag22Cu41Fe37,CRA,No Procesado,18
532,Ag22Cu51Fe27,CRA,No Procesado,5
533,Ag23Cu10Fe67,CRA,No Procesado,14
534,Ag24Cu31Fe45,CRA,No Procesado,12
535,Ag25Al10Mg65,RMG,No Procesado,19
536,Ag25Al20Mg55,RMG,No Procesado,9
537,Ag25Ce6Cu69,RMG,No Procesado,9
538,Ag25Cu25Fe50,CRA,No Procesado,20
539,Ag25Mg60Y15,RMG,No Procesado,19
540,Ag25Mg65Y10,RMG,No Procesado,13
541,Ag25Mg70Y5,RMG,No Procesado,10
542,Ag26Cu23Fe51,CRA,No Procesado,2
543,Ag26Cu44Fe30,CRA,No Procesado,1
544,Ag27Cu31Fe42,CRA,No Procesado,4
545,Ag28Cu30Fe42,RMG,No Procesado,12
546,Ag28Cu45Fe27,CRA,No Procesado,14
547,Ag29Cu30Fe41,RMG,No Procesado,11
548,Ag29Cu31Fe40,CRA,No Procesado,8
549,Ag30Ce10Cu60,RMG,No Procesado,12
550,Ag30Ce3Cu67,CRA,No Procesado,2
551,Ag30Ce5Cu65,CRA,No Procesado,20
552,Ag30Ce6Cu64,RMG,No Procesado,14
553,Ag30Cu30Fe40,RMG,No Procesado,8
554,Ag30Mg20Y50,CRA,No Procesado,5
555,Ag30Mg30Y40,RMG,No Procesado,7
556,Ag30Mg40Y30,RMG,No Procesado,15
557,Ag30Mg50Y20,RMG,No Procesado,19
558,Ag30Mg55Y15,RMG,No Procesado,15
559,Ag30Mg60Y10,RMG,No Procesado,5
560,Ag31Cu37Fe32,CRA,No Procesado,12
561,Ag31Cu49Fe20,CRA,No Procesado,7
562,Ag31Cu55Fe14,CRA,No Procesado,19
563,Ag32Cu66Fe2,CRA,No Procesado,3
564,Ag35Al10Mg55,RMG,No Procesado,12
565,Ag35Al20Mg45,RMG,No Procesado,10
566,Ag35Ce3Cu62,CRA,No Procesado,2
567,Ag35Ce4Cu61,RMG,No Procesado,9
568,Ag35Ce5Cu60,RMG,No Procesado,20
569,Ag35Ce6Cu59,RMG,No Procesado,12
570,Ag35Cu35Mg30,RMG,No Procesado,16
571,Ag36Cu30Fe34,CRA,No Procesado,19
572,Ag37.5Cu37.5Ge25,RMG,No Procesado,18
573,Ag37Cu6Fe57,CRA,No Procesado,6
574,Ag38.4Mg30.8Ca30.8,BMG,No Procesado,8
575,Ag38.4Mg38.4Ca23.2,BMG,No Procesado,19
576,Ag38.75Cu38.75Ge22.5,RMG,No Procesado,6
577,Ag38Cu22Fe40,RMG,No Procesado,5
578,Ag4.2Pd79.3Si16.5,RMG,No Procesado,4
579,Ag4.5Pd75.5Si20,RMG,No Procesado,3
580,Ag4.5Pd79Si16.5,RMG,No Procesado,16
581,Ag40Ce10Cu50,RMG,No Procesado,18
582,Ag40Ce1Cu59,CRA,No Procesado,12
583,Ag40Ce2Cu58,CRA,No Procesado,2
584,Ag40Ce3Cu57,RMG,No Procesado,7
585,Ag40Ce4Cu56,RMG,No Procesado,14
586,Ag40Ce5Cu55,RMG,No Procesado,13
587,Ag40Ce8Cu52,RMG,No Procesado,17
588,Ag40Cu12Fe48,CRA,No Procesado,9
589,Ag40Cu40Fe20,CRA,No Procesado,6
590,Ag40Cu40Ge20,RMG,No Procesado,7
591,Ag40Cu47Fe13,CRA,No Procesado,1
592,Ag40Mg20Y40,CRA,No Procesado,9
593,Ag40Mg30Y30,RMG,No Procesado,7
594,Ag40Mg40Y20,RMG,No Procesado,15
